SS1,SS2,Similarity
auroravid.to,auroravid.to,100.0
auroravid.to,bitvid.sx,53.01204819277109
auroravid.to,cloudtime.to,67.04545454545455
auroravid.to,daclips.co,11.650485436893204
auroravid.to,daclips.in,11.650485436893204
auroravid.to,divxstage.to,67.04545454545455
auroravid.to,estream.to,32.298136645962735
auroravid.to,gorillavid.co,6.707317073170732
auroravid.to,gorillavid.in,6.707317073170732
auroravid.to,movpod.in,13.375796178343949
auroravid.to,movpod.ne,13.375796178343949
auroravid.to,movshare.ne,47.11538461538461
auroravid.to,novamov.co,100.0
auroravid.to,nowvideo.sx,63.69426751592356
auroravid.to,openload.co,41.55844155844156
auroravid.to,speedvid.ne,21.53846153846154
auroravid.to,streamango.co,9.72644376899696
auroravid.to,streamflv.co,5.042016806722689
auroravid.to,streamin.to,27.205882352941174
auroravid.to,streamplay.to,39.62264150943396
auroravid.to,thevideo.me,33.99209486166008
auroravid.to,thevideobee.to,24.817518248175183
auroravid.to,veehd.co,4.701627486437613
auroravid.to,veoh.co,11.35646687697161
auroravid.to,videoweed.co,53.01204819277109
auroravid.to,videoweed.es,53.01204819277109
auroravid.to,vidlox.tv,25.925925925925924
auroravid.to,vidto.me,6.1465721040189125
auroravid.to,vidtodo.co,21.62162162162162
auroravid.to,vidup.me,9.418282548476455
auroravid.to,vidzi.tv,23.52941176470588
auroravid.to,watchers.to,10.238907849829351
bitvid.sx,auroravid.to,56.62650602409639
bitvid.sx,bitvid.sx,100.0
bitvid.sx,cloudtime.to,79.06976744186046
bitvid.sx,daclips.co,8.524590163934425
bitvid.sx,daclips.in,8.524590163934425
bitvid.sx,divxstage.to,79.06976744186046
bitvid.sx,estream.to,39.490445859872615
bitvid.sx,gorillavid.co,6.790123456790123
bitvid.sx,gorillavid.in,6.790123456790123
bitvid.sx,movpod.in,8.38709677419355
bitvid.sx,movpod.ne,8.38709677419355
bitvid.sx,movshare.ne,41.17647058823529
bitvid.sx,novamov.co,56.62650602409639
bitvid.sx,nowvideo.sx,75.81699346405229
bitvid.sx,openload.co,34.36123348017621
bitvid.sx,speedvid.ne,23.4375
bitvid.sx,streamango.co,8.615384615384615
bitvid.sx,streamflv.co,9.631728045325778
